733f c0e2
0 0 54
0 1 29
0 2 56
0 3 52
0 4 75
0 5 30
0 6 39
0 7 9
0 8 46
0 9 16
0 a 25
0 b 130
0 c 83
0 d 79
0 e 106
0 f 81
1 0 42
1 1 1
1 2 82
1 3 32
1 4 11
1 5 88
1 6 13
1 7 17
1 8 60
1 9 64
1 a 11
1 b 66
1 c 41
1 d 9
1 e 72
1 f 31
2 0 69
2 1 86
2 2 165
2 3 59
2 4 42
2 5 13
2 6 74
2 7 28
2 8 1
2 9 101
2 a 14
2 b 69
2 c 94
2 d 12
2 e 67
2 f 84
3 0 46
3 1 23
3 2 32
3 3 26
3 4 3
3 5 14
3 6 13
3 7 45
3 8 22
3 9 80
3 a 53
3 b 70
3 c 41
3 d 17
3 e 8
3 f 61
4 0 140
4 1 183
4 2 100
4 3 108
4 4 213
4 5 0
4 6 93
4 7 135
4 8 54
4 9 96
4 a 189
4 b 24
4 c 87
4 d 95
4 e 12
4 f 55
5 0 0
5 1 11
5 2 46
5 3 40
5 4 85
5 5 36
5 6 1
5 7 15
5 8 16
5 9 2
5 a 37
5 b 84
5 c 41
5 d 45
5 e 10
5 f 1
6 0 32
6 1 135
6 2 6
6 3 70
6 4 95
6 5 4
6 6 17
6 7 57
6 8 4
6 9 44
6 a 65
6 b 34
6 c 5
6 d 81
6 e 60
6 f 43
7 0 135
7 1 186
7 2 107
7 3 83
7 4 122
7 5 73
7 6 72
7 7 26
7 8 9
7 9 55
7 a 90
7 b 105
7 c 106
7 d 82
7 e 3
7 f 54
8 0 94
8 1 127
8 2 90
8 3 96
8 4 113
8 5 10
8 6 13
8 7 53
8 8 0
8 9 40
8 a 43
8 b 60
8 c 79
8 d 85
8 e 48
8 f 81
9 0 197
9 1 178
9 2 203
9 3 109
9 4 140
9 5 59
9 6 68
9 7 22
9 8 13
9 9 59
9 a 68
9 b 131
9 c 180
9 d 86
9 e 111
9 f 92
a 0 229
a 1 324
a 2 243
a 3 139
a 4 150
a 5 27
a 6 86
a 7 94
a 8 25
a 9 17
a a 96
a b 81
a c 226
a d 122
a e 41
a f 136
b 0 89
b 1 130
b 2 97
b 3 71
b 4 22
b 5 63
b 6 8
b 7 56
b 8 63
b 9 111
b a 56
b b 141
b c 98
b d 72
b e 39
b f 80
c 0 115
c 1 48
c 2 125
c 3 85
c 4 38
c 5 133
c 6 82
c 7 6
c 8 111
c 9 35
c a 16
c b 79
c c 22
c d 18
c e 59
c f 8
d 0 0
d 1 15
d 2 8
d 3 0
d 4 77
d 5 134
d 6 143
d 7 23
d 8 134
d 9 14
d a 23
d b 80
d c 31
d d 23
d e 16
d f 31
e 0 27
e 1 70
e 2 75
e 3 27
e 4 24
e 5 59
e 6 56
e 7 34
e 8 73
e 9 51
e a 48
e b 83
e c 22
e d 26
e e 21
e f 22
f 0 15
f 1 42
f 2 101
f 3 7
f 4 110
f 5 117
f 6 30
f 7 42
f 8 87
f 9 99
f a 12
f b 19
f c 20
f d 114
f e 55
f f 28
41a73af1
